 
 
 # TIME       12900.0000000000     
  0.0000000000E+00  0.4870476932E-04  0.1000000000E+01
  0.4545454545E-01  0.2932915124E-02  0.7951750742E-05
  0.9090909091E-01  0.1017951393E-02  0.1041062111E-04
  0.1363636364E+00  0.4773112086E-03  0.9595452188E-05
  0.1818181818E+00  0.3092673403E-03  0.7265444094E-05
  0.2272727273E+00  0.2817736713E-03  0.6995168175E-05
  0.2727272727E+00  0.2192828497E-03  0.7236110347E-05
  0.3181818182E+00  0.1882291497E-03  0.7327520129E-05
  0.3636363636E+00  0.1491861935E-03  0.6311830592E-05
  0.4090909091E+00  0.1045087059E-03  0.6198096720E-05
  0.4545454545E+00  0.8231452213E-04  0.5711870168E-05
  0.5000000000E+00  0.6243250850E-04  0.5307829271E-05
  0.5454545455E+00  0.5436792817E-04  0.5483443318E-05
  0.5909090909E+00  0.4359339673E-04  0.4806940794E-05
  0.6363636364E+00  0.3674985939E-04  0.4615441967E-05
  0.6818181818E+00  0.3017376753E-04  0.4292850856E-05
  0.7272727273E+00  0.2588768459E-04  0.4380253919E-05
  0.7727272727E+00  0.2198925013E-04  0.3916153026E-05
  0.8181818182E+00  0.1946649460E-04  0.3719144042E-05
  0.8636363636E+00  0.1755455887E-04  0.3580534892E-05
  0.9090909091E+00  0.1624040906E-04  0.3447313062E-05
  0.9545454545E+00  0.1453413212E-04  0.3304612350E-05
  0.1000000000E+01  0.1385805272E-04  0.3190480263E-05
  0.1045454545E+01  0.1170256628E-04  0.2999528525E-05
  0.1090909091E+01  0.1042268878E-04  0.3022027099E-05
  0.1136363636E+01  0.9914531356E-05  0.2816322598E-05
  0.1181818182E+01  0.8799051263E-05  0.2722178947E-05
  0.1227272727E+01  0.8301135137E-05  0.2567898603E-05
  0.1272727273E+01  0.7493073761E-05  0.2442198555E-05
  0.1318181818E+01  0.7183126597E-05  0.2365217848E-05
  0.1363636364E+01  0.6606722545E-05  0.2267343190E-05
  0.1409090909E+01  0.6127895562E-05  0.2234617978E-05
  0.1454545455E+01  0.5658963890E-05  0.2084303890E-05
  0.1500000000E+01  0.5484412869E-05  0.1946210295E-05
  0.1545454545E+01  0.5087094674E-05  0.1887529487E-05
  0.1590909091E+01  0.4751028891E-05  0.1782632161E-05
  0.1636363636E+01  0.4435886499E-05  0.1660875791E-05
  0.1681818182E+01  0.4163183938E-05  0.1633196601E-05
  0.1727272727E+01  0.3944934776E-05  0.1517670844E-05
  0.1772727273E+01  0.3730287189E-05  0.1512801668E-05
  0.1818181818E+01  0.3519989825E-05  0.1421571580E-05
  0.1863636364E+01  0.3320782851E-05  0.1364128214E-05
  0.1909090909E+01  0.3184675101E-05  0.1308432673E-05
  0.1954545455E+01  0.2904840424E-05  0.1233347791E-05
  0.2000000000E+01  0.2782836503E-05  0.1188439974E-05
  0.2045454545E+01  0.2703340512E-05  0.1176945828E-05
  0.2090909091E+01  0.2507870969E-05  0.1091435680E-05
  0.2136363636E+01  0.2406034744E-05  0.1067803974E-05
  0.2181818182E+01  0.2286498888E-05  0.1053287560E-05
  0.2227272727E+01  0.2199033021E-05  0.9943254592E-06
  0.2272727273E+01  0.2091667888E-05  0.9674520286E-06
  0.2318181818E+01  0.1995919322E-05  0.8861068310E-06
  0.2363636364E+01  0.1896466694E-05  0.8660554103E-06
  0.2409090909E+01  0.1800182000E-05  0.8369805461E-06
